count;year;gender_event;gender_athlete;event;type;family_name_ok;given_name_ok;country;continent;country_career;athlete_ok;medal
28031;2009;Women;Women;100m Butterfly;Individual;Jiao;Liuyang;CHN;Asia;CHN;Liuyang Jiao (CHN);Bronze
28157;2009;Women;Women;200m Butterfly;Individual;Schipper;Jessicah;AUS;Oceania;AUS;Jessicah Schipper (AUS);Gold
28158;2009;Women;Women;200m Butterfly;Individual;Liu;Zige;CHN;Asia;CHN;Zige Liu (CHN);Silver
28159;2009;Women;Women;200m Butterfly;Individual;Hosszu;Katinka;HUN;Europe;HUN;Katinka Hosszu (HUN);Bronze
28238;2009;Women;Women;200m Medley;Individual;Kukors;Ariana;USA;America;USA;Ariana Kukors (USA);Gold
28239;2009;Women;Women;200m Medley;Individual;Rice;Stephanie;AUS;Oceania;AUS;Stephanie Rice (AUS);Silver
28240;2009;Women;Women;200m Medley;Individual;Hosszu;Katinka;HUN;Europe;HUN;Katinka Hosszu (HUN);Bronze
28335;2009;Women;Women;400m Medley;Individual;Hosszu;Katinka;HUN;Europe;HUN;Katinka Hosszu (HUN);Gold
28336;2009;Women;Women;400m Medley;Individual;Coventry;Kirsty;ZIM;Africa;ZIM;Kirsty Coventry (ZIM);Silver
28337;2009;Women;Women;400m Medley;Individual;Rice;Stephanie;AUS;Oceania;AUS;Stephanie Rice (AUS);Bronze
28394;2009;Women;Women;4 x 100m Freestyle;Relay;Dekker;Inge;NED;Europe;NED;Inge Dekker (NED);Gold
28395;2009;Women;Women;4 x 100m Freestyle;Relay;Kromowidjojo;Ranomi;NED;Europe;NED;Ranomi Kromowidjojo (NED);Gold
28396;2009;Women;Women;4 x 100m Freestyle;Relay;Heemskerk;Femke;NED;Europe;NED;Femke Heemskerk (NED);Gold
28397;2009;Women;Women;4 x 100m Freestyle;Relay;Veldhuis;Marleen;NED;Europe;NED;Marleen Veldhuis (NED);Gold
28398;2009;Women;Women;4 x 100m Freestyle;Relay;Steffen;Britta;GER;Europe;GER;Britta Steffen (GER);Silver
28399;2009;Women;Women;4 x 100m Freestyle;Relay;Samulski;Daniela;GER;Europe;GER;Daniela Samulski (GER);Silver
28400;2009;Women;Women;4 x 100m Freestyle;Relay;Dallmann;Petra;GER;Europe;GER;Petra Dallmann (GER);Silver
28401;2009;Women;Women;4 x 100m Freestyle;Relay;Schreiber;Daniela;GER;Europe;GER;Daniela Schreiber (GER);Silver
28402;2009;Women;Women;4 x 100m Freestyle;Relay;Trickett;Libby;AUS;Oceania;AUS;Libby Trickett (AUS);Bronze
28403;2009;Women;Women;4 x 100m Freestyle;Relay;Guehrer-D'Cruz;Marieke;AUS;Oceania;AUS;Marieke Guehrer-D'Cruz (AUS);Bronze
28404;2009;Women;Women;4 x 100m Freestyle;Relay;Reese;Shayne;AUS;Oceania;AUS;Shayne Reese (AUS);Bronze
28405;2009;Women;Women;4 x 100m Freestyle;Relay;Galvez;Felicity;AUS;Oceania;AUS;Felicity Galvez (AUS);Bronze
28431;2009;Women;Women;4 x 100m Freestyle;Relay;Schreuder;Hinkelien;NED;Europe;NED;Hinkelien Schreuder (NED);Gold
28434;2009;Women;Women;4 x 100m Freestyle;Relay;Foster-Hunter;Sally;AUS;Oceania;AUS;Sally Foster-Hunter (AUS);Bronze
28437;2009;Women;Women;4 x 100m Freestyle;Relay;Nay;Meagen;AUS;Oceania;AUS;Meagen Nay (AUS);Bronze
28550;2009;Women;Women;4 x 200m Freestyle;Relay;Yang;Yu;CHN;Asia;CHN;Yu Yang (CHN);Gold
28551;2009;Women;Women;4 x 200m Freestyle;Relay;Zhu;Qianwei;CHN;Asia;CHN;Qianwei Zhu (CHN);Gold
28552;2009;Women;Women;4 x 200m Freestyle;Relay;Liu;Jing;CHN;Asia;CHN;Jing Liu (CHN);Gold
28553;2009;Women;Women;4 x 200m Freestyle;Relay;Pang;Jiaying;CHN;Asia;CHN;Jiaying Pang (CHN);Gold
28554;2009;Women;Women;4 x 200m Freestyle;Relay;Vollmer;Dana;USA;America;USA;Dana Vollmer (USA);Silver
28555;2009;Women;Women;4 x 200m Freestyle;Relay;Nymeyer;Lacey;USA;America;USA;Lacey Nymeyer (USA);Silver
28556;2009;Women;Women;4 x 200m Freestyle;Relay;Kukors;Ariana;USA;America;USA;Ariana Kukors (USA);Silver
28557;2009;Women;Women;4 x 200m Freestyle;Relay;Schmitt;Allison;USA;America;USA;Allison Schmitt (USA);Silver
28558;2009;Women;Women;4 x 200m Freestyle;Relay;Jackson;Joanne;GBR;Europe;GBR;Joanne Jackson (GBR);Bronze
28559;2009;Women;Women;4 x 200m Freestyle;Relay;Carlin;Jazmin;GBR;Europe;GBR;Jazmin Carlin (GBR);Bronze
28560;2009;Women;Women;4 x 200m Freestyle;Relay;McClatchey;Caitlin;GBR;Europe;GBR;Caitlin McClatchey (GBR);Bronze
28561;2009;Women;Women;4 x 200m Freestyle;Relay;Adlington;Rebecca;GBR;Europe;GBR;Rebecca Adlington (GBR);Bronze
28584;2009;Women;Women;4 x 200m Freestyle;Relay;Miley;Hannah;GBR;Europe;GBR;Hannah Miley (GBR);Bronze
28587;2009;Women;Women;4 x 200m Freestyle;Relay;Knutson;Dagny;USA;America;USA;Dagny Knutson (USA);Silver
28588;2009;Women;Women;4 x 200m Freestyle;Relay;Anderson;Alyssa;USA;America;USA;Alyssa Anderson (USA);Silver
28678;2009;Women;Women;4 x 100m Medley;Relay;Zhao;Jing;CHN;Asia;CHN;Jing Zhao (CHN);Gold
28679;2009;Women;Women;4 x 100m Medley;Relay;Chen;Huijia;CHN;Asia;CHN;Huijia Chen (CHN);Gold
28680;2009;Women;Women;4 x 100m Medley;Relay;Jiao;Liuyang;CHN;Asia;CHN;Liuyang Jiao (CHN);Gold
28681;2009;Women;Women;4 x 100m Medley;Relay;Li;Zhesi;CHN;Asia;CHN;Zhesi Li (CHN);Gold
28682;2009;Women;Women;4 x 100m Medley;Relay;Seebohm;Emily;AUS;Oceania;AUS;Emily Seebohm (AUS);Silver
28683;2009;Women;Women;4 x 100m Medley;Relay;Katsoulis;Sarah;AUS;Oceania;AUS;Sarah Katsoulis (AUS);Silver
28684;2009;Women;Women;4 x 100m Medley;Relay;Schipper;Jessicah;AUS;Oceania;AUS;Jessicah Schipper (AUS);Silver
28685;2009;Women;Women;4 x 100m Medley;Relay;Trickett;Libby;AUS;Oceania;AUS;Libby Trickett (AUS);Silver
28686;2009;Women;Women;4 x 100m Medley;Relay;Samulski;Daniela;GER;Europe;GER;Daniela Samulski (GER);Bronze
28687;2009;Women;Women;4 x 100m Medley;Relay;Poewe;Sarah;GER;Europe;RSA, GER;Sarah Poewe (RSA, GER);Bronze
28688;2009;Women;Women;4 x 100m Medley;Relay;Mehlhorn;Annika;GER;Europe;GER;Annika Mehlhorn (GER);Bronze
28689;2009;Women;Women;4 x 100m Medley;Relay;Steffen;Britta;GER;Europe;GER;Britta Steffen (GER);Bronze
28721;2009;Women;Women;4 x 100m Medley;Relay;Schreiber;Daniela;GER;Europe;GER;Daniela Schreiber (GER);Bronze
28735;2009;Women;Women;4 x 100m Medley;Relay;Foster-Hunter;Sally;AUS;Oceania;AUS;Sally Foster-Hunter (AUS);Silver
